Date,Open,High,Low,Close,Adj Close,Volume
2020-12-23,29.389999,30.350000,29.330000,30.049999,29.776138,52537200
2020-12-24,30.270000,30.270000,29.740000,29.959999,29.686958,22632300
2020-12-28,30.230000,30.549999,29.990000,30.129999,29.855410,32861200
2020-12-29,30.170000,30.250000,29.930000,30.010000,29.736504,33291900
2020-12-30,30.000000,30.219999,29.940001,29.980000,29.706776,26370100
2020-12-31,30.010000,30.389999,29.900000,30.309999,30.033768,28716000
2021-01-04,30.459999,30.570000,29.750000,30.030001,29.756323,51483900
2021-01-05,30.170000,30.540001,29.910000,30.260000,29.984224,48507000
2021-01-06,31.900000,32.619999,31.360001,32.150002,31.857002,107002800
2021-01-07,33.310001,33.619999,32.840000,32.860001,32.560532,74358500
2021-01-08,32.919998,33.000000,32.110001,32.529999,32.233536,44641400
2021-01-11,32.090000,33.130001,31.900000,33.070000,32.768616,51868200
2021-01-12,33.419998,33.970001,33.200001,33.660000,33.353241,68166200
2021-01-13,33.430000,33.680000,33.090000,33.459999,33.155064,43172800
2021-01-14,33.480000,34.369999,33.419998,33.990002,33.680233,48483500
2021-01-15,33.290001,33.630001,32.700001,33.009998,32.709160,57684300
2021-01-19,32.500000,33.599998,32.200001,32.770000,32.471352,78130200
2021-01-20,32.759998,32.790001,32.160000,32.340000,32.045269,53920000
2021-01-21,32.340000,32.480000,31.730000,31.770000,31.480463,49626600
2021-01-22,31.360001,31.750000,31.250000,31.549999,31.262468,45314500
2021-01-25,31.270000,31.299999,30.570000,31.160000,30.876022,48078400
2021-01-26,31.400000,31.430000,30.910000,30.940001,30.658030,36373000
2021-01-27,30.309999,30.430000,29.670000,29.830000,29.558144,63809200
2021-01-28,30.420000,30.750000,29.920000,30.320000,30.043678,51223300
2021-01-29,30.400000,30.500000,29.590000,29.650000,29.379784,64019100
2021-02-01,29.870001,30.040001,29.570000,29.959999,29.686958,40985300
2021-02-02,30.580000,31.200001,30.540001,31.030001,30.747210,53527000
2021-02-03,30.910000,31.730000,30.879999,31.580000,31.292194,49404900
2021-02-04,31.799999,32.529999,31.780001,32.500000,32.203812,51751900
2021-02-05,32.889999,32.910000,32.320000,32.369999,32.074993,42008800
2021-02-08,32.430000,33.279999,32.400002,33.090000,32.788433,46014100
2021-02-09,32.970001,33.020000,32.590000,32.950001,32.649712,35868600
2021-02-10,33.119999,33.419998,32.860001,32.980000,32.679436,45031900
2021-02-11,32.970001,33.310001,32.549999,32.880001,32.580349,29479900
2021-02-12,33.000000,33.450001,32.910000,33.369999,33.065884,37468300
2021-02-16,33.980000,34.560001,33.700001,34.270000,33.957684,52802600
2021-02-17,34.040001,34.560001,33.790001,34.410000,34.096405,45455300
2021-02-18,34.060001,34.650002,34.020000,34.189999,33.878407,37541700
2021-02-19,34.200001,34.730000,34.180000,34.540001,34.225220,54514100
2021-02-22,34.450001,35.250000,34.410000,35.150002,34.829662,56783400
2021-02-23,35.419998,35.889999,35.139999,35.520000,35.196289,67440700
2021-02-24,35.740002,36.520000,35.599998,36.380001,36.048450,58139500
2021-02-25,36.959999,37.029999,35.759998,35.930000,35.602551,74762000
2021-02-26,35.730000,36.029999,34.680000,34.709999,34.393669,70933300
2021-03-01,35.520000,36.049999,35.240002,35.790001,35.463829,45901700
2021-03-02,35.650002,35.939999,35.500000,35.529999,35.206196,41167400
2021-03-03,35.970001,36.970001,35.840000,36.419998,36.088085,66047000
2021-03-04,36.139999,36.869999,35.919998,36.500000,36.346996,96512800
2021-03-05,37.029999,37.599998,36.169998,36.930000,36.775196,74292300
2021-03-08,37.380001,37.730000,36.820000,37.130001,36.974358,65335500
2021-03-09,36.549999,37.160000,35.810001,36.320000,36.167751,63946000
2021-03-10,36.540001,37.529999,36.369999,37.369999,37.213348,53365600
2021-03-11,37.270000,37.790001,36.849998,37.240002,37.083897,45834000
